Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number
0.002419965,1.684096907,1044.8112,0.07098212,0.001561216,100,25,2727.413719,101.0257457
0.002365487,1.623946825,1152.482,0.067671018,0.009228031,50,6,479.7528034,106.2418648
0.002545801,0.896408576,997.2375,0.07246,0.000943923,800,25,2410.973826,28.15378128
0.002296215,0.970430171,1199.2114,0.06689444,0.036419641,400,25,73.37311657,38.76563458
0.002281221,0.977409766,1230.6815,0.06577659,0.152918067,200,25,17.94448033,40.77509727
0.00248047,1.614234363,1044.8112,0.07098212,0.001561216,100,6,2679.634128,95.13844618
0.002201927,1.198741208,1199.55115,0.06693579,0.037208576,50,25,85.09500176,56.70405902
0.002261662,1.423322854,1230.745625,0.065787313,0.153762912,100,25,25.76604694,85.71575706
0.002354556,0.944338259,1151.348,0.06742348,0.008610586,400,6,297.310723,35.85582312
0.002299046,0.548346629,1199.4826,0.06692756,0.037049434,200,6,40.81456424,12.38930449
0.002572474,1.595551612,997.2375,0.07246,0.000943923,600,6,4336.345864,90.13075411
0.002303823,1.418944571,1230.745625,0.065787313,0.153762912,100,6,26.16562751,86.77728015
0.002296241,0.573230744,1152.158,0.067599618,0.009047234,400,25,167.6267184,12.8600986
0.002455898,0.518735321,1045.10055,0.071077093,0.001590276,400,6,837.223878,9.716958097
0.002497251,1.592339768,1044.68,0.070939,0.001548471,800,25,2682.73663,93.24634485
0.00230748,1.42084016,1230.745625,0.065787313,0.153762912,50,6,26.2421813,87.14743405
0.00232444,1.60414803,1199.2114,0.06689444,0.036419641,600,6,122.7786633,107.2291797
0.002273937,0.600553316,1152.266,0.067623358,0.009107103,50,25,172.7835959,13.97454198
0.002460445,1.21277896,1045.16375,0.071097813,0.001596807,100,6,1953.112423,53.19920367
0.002424054,0.947217171,1045.3818,0.07116923,0.001619878,400,25,1481.782942,31.94655768
0.00244874,0.535038761,1045.16375,0.071097813,0.001596807,50,6,857.5508156,10.30484218
0.002370685,1.206443269,1152.32,0.06763525,0.009137186,100,6,360.6961151,58.7878683
0.002208783,1.190632172,1230.302,0.06571236,0.147945596,50,25,21.86957213,58.62365286
0.002362377,0.951613186,1151.348,0.06742348,0.008610586,600,6,300.5961924,36.5313284
0.002268364,1.419696607,1230.745625,0.065787313,0.153762912,100,25,25.77656173,85.53226652
0.002322929,1.439250928,1198.87915,0.06685259,0.035647434,400,25,112.4396968,86.29114224
0.002453623,0.52645201,1044.97295,0.071035233,0.001577294,800,25,855.7735949,10.00360622
0.002434281,0.535458997,1045.03695,0.071056233,0.001583772,400,25,860.0742092,10.26485002
0.002298113,1.629829316,1199.41435,0.06691931,0.036890972,200,25,121.7762886,109.414153
0.002326855,0.934799258,1230.554,0.06575516,0.151242279,600,6,17.69762802,38.05193944
0.002465616,0.517067388,997.2375,0.07246,0.000943923,200,25,1346.897804,9.072354799
0.002530876,1.197633109,997.2375,0.07246,0.000943923,600,6,3202.261126,49.95957908
0.002535221,1.615136094,997.2375,0.07246,0.000943923,600,25,4326.004792,91.01948052
0.002370256,1.422146547,1152.86,0.067755,0.009443533,200,6,411.5111105,81.56786349
0.002382164,1.596935321,1152.32,0.06763525,0.009137186,600,25,479.7552099,103.5014346
0.002322619,0.947880186,1199.2114,0.06689444,0.036419641,200,6,72.49222261,37.41024059
0.002494468,1.217682628,997.2375,0.07246,0.000943923,400,25,3209.032502,50.90336113
0.002450324,1.647623844,1044.68,0.070939,0.001548471,200,25,2723.715113,97.95752081
0.002322747,0.943301181,1199.0776,0.06687776,0.036108771,600,6,72.75902479,37.05682746
0.002337725,1.642208894,1152.482,0.067671018,0.009228031,100,25,479.4539837,107.3696879
0.002184733,1.598995219,1230.239625,0.065701673,0.147132715,50,25,29.20962134,104.5937936
0.002473038,1.621970866,1044.68,0.070939,0.001548471,600,25,2706.163501,95.81094367
0.002494794,1.212154488,997.2375,0.07246,0.000943923,400,25,3194.880839,50.44880369
0.002327496,0.934506953,1230.6815,0.06577659,0.152918067,400,6,17.50484629,38.03017154
0.002344189,1.61706438,1230.1775,0.06569099,0.1463243,400,25,31.86920782,114.7913667
0.002512289,1.404973231,997.2375,0.07246,0.000943923,200,6,3729.062975,68.25052576
0.002278036,0.531361973,1231.2015,0.06586251,0.159808968,200,6,9.325646578,12.02353834
0.002478171,0.940197074,1045.3818,0.07116923,0.001619878,600,6,1503.636642,32.17745645
0.002453379,0.526362808,1044.97295,0.071035233,0.001577294,800,25,855.5435468,9.999222501
0.002591977,1.586205261,997.2375,0.07246,0.000943923,800,6,4343.62802,89.75326285
0.002361576,1.414865357,1198.87915,0.06685259,0.035647434,200,6,112.3735907,84.77921773
0.002357617,1.217885677,1153.184,0.06782757,0.00963225,600,25,343.7563345,59.45367996
0.002338152,0.978966822,1151.348,0.06742348,0.008610586,200,25,306.0656221,38.26520672
0.002296619,1.419154862,1230.745625,0.065787313,0.153762912,200,25,26.08768024,86.53159341
0.002318748,0.546735478,1199.3464,0.06691104,0.036733188,600,6,41.39204697,12.4238157
0.002329924,1.195805482,1230.302,0.06571236,0.147945596,200,6,23.16925248,62.37743878
0.002481587,1.612549504,1044.8112,0.07098212,0.001561216,100,6,2678.042575,94.98269737
0.002457452,1.441384092,1045.32,0.071149,0.001613252,600,25,2295.153763,75.01100362
0.002364224,1.212054066,1153.184,0.06782757,0.00963225,200,6,343.0689618,59.05068356
0.002444521,0.515019661,997.2375,0.07246,0.000943923,50,25,1330.085602,8.923631648
0.002351375,1.226982319,1153.184,0.06782757,0.00963225,800,25,345.4069689,60.18536633
0.002493325,1.17496698,1045.16375,0.071097813,0.001596807,400,6,1917.504834,50.60091435
0.002453419,0.503798448,1044.97295,0.071035233,0.001577294,600,25,818.8812845,9.160447459
0.002448526,0.522099822,997.2375,0.07246,0.000943923,100,25,1350.579846,9.185695473
0.002288306,1.228645679,1230.302,0.06571236,0.147945596,100,25,23.380319,64.67434908
0.002387314,1.602400545,1044.8112,0.07098212,0.001561216,100,25,2560.091931,90.22785035
0.002322729,1.185788357,1230.302,0.06571236,0.147945596,800,25,22.90421264,61.14733379
0.002475248,0.521858077,997.2375,0.07246,0.000943923,100,6,1364.687488,9.277348112
0.002369422,1.711194094,1044.8112,0.07098212,0.001561216,50,25,2713.416662,102.1244489
0.002439969,1.589990392,997.2375,0.07246,0.000943923,50,25,4098.649716,84.89332373
